STATEFP	STABBREV	STATE	COUNTYFP	COUNTYNS	GEOID	NAME	NAMELSAD	LSAD	CLASSFP	MTFCC	CSAFP	CBSAFP	METDIVFP	FUNCSTAT	ALAND	AWATER	INTPTLAT	INTPTLON
01	AL	Alabama	105	161579	01105	Perry	Perry County	6	H1	G4020	NA	NA	NA	A	1863919953	10918482	32.6390053	-87.2938269
01	AL	Alabama	005	161528	01005	Barbour	Barbour County	6	H1	G4020	NA	NA	NA	A	2291820706	50864677	31.8702531	-85.4051035
01	AL	Alabama	031	161541	01031	Coffee	Coffee County	6	H1	G4020	222	21460	NA	A	1758565487	3907876	31.402258	-85.9896022
01	AL	Alabama	009	161530	01009	Blount	Blount County	6	H1	G4020	142	13820	NA	A	1670041875	15077458	33.9773575	-86.56644
01	AL	Alabama	015	161533	01015	Calhoun	Calhoun County	6	H1	G4020	NA	11500	NA	A	1569245411	16568577	33.7717061	-85.8225133
01	AL	Alabama	075	161563	01075	Lamar	Lamar County	6	H1	G4020	NA	NA	NA	A	1566544639	1600679	33.7870852	-88.0874309
01	AL	Alabama	117	161584	01117	Shelby	Shelby County	6	H1	G4020	142	13820	NA	A	2034095311	62562159	33.2630428	-86.6780894
01	AL	Alabama	007	161529	01007	Bibb	Bibb County	6	H1	G4020	142	13820	NA	A	1612481559	9287974	33.0158929	-87.1271475
01	AL	Alabama	067	161559	01067	Henry	Henry County	6	H1	G4020	222	20020	NA	A	1454926615	16986823	31.5169779	-85.2399712
01	AL	Alabama	093	161573	01093	Marion	Marion County	6	H1	G4020	NA	NA	NA	A	1922527480	3313159	34.1382194	-87.881551
01	AL	Alabama	101	161577	01101	Montgomery	Montgomery County	6	H1	G4020	NA	33860	NA	A	2031369248	40392803	32.2028812	-86.2044615
01	AL	Alabama	099	161576	01099	Monroe	Monroe County	6	H1	G4020	NA	NA	NA	A	2656521232	22609677	31.5803324	-87.3832656
01	AL	Alabama	021	161536	01021	Chilton	Chilton County	6	H1	G4020	142	13820	NA	A	1794482899	20586310	32.8540514	-86.7266071
01	AL	Alabama	063	161557	01063	Greene	Greene County	6	H1	G4020	NA	NA	NA	A	1675993309	33244743	32.8444965	-87.9642005
01	AL	Alabama	083	161567	01083	Limestone	Limestone County	6	H1	G4020	290	26620	NA	A	1450234553	122373517	34.8102387	-86.9813995
01	AL	Alabama	095	161574	01095	Marshall	Marshall County	6	H1	G4020	290	10700	NA	A	1465524083	148503229	34.3095637	-86.3216681
01	AL	Alabama	077	161564	01077	Lauderdale	Lauderdale County	6	H1	G4020	NA	22520	NA	A	1729334078	134420924	34.9041221	-87.6509966
01	AL	Alabama	061	161556	01061	Geneva	Geneva County	6	H1	G4020	222	20020	NA	A	1487710773	11765077	31.0923933	-85.821011
01	AL	Alabama	125	161588	01125	Tuscaloosa	Tuscaloosa County	6	H1	G4020	NA	46220	NA	A	3423119895	76604723	33.2902416	-87.522735
01	AL	Alabama	035	161543	01035	Conecuh	Conecuh County	6	H1	G4020	NA	NA	NA	A	2201896058	6643480	31.4309257	-86.9887221
01	AL	Alabama	127	161589	01127	Walker	Walker County	6	H1	G4020	142	13820	NA	A	2049182057	36258716	33.7915581	-87.3010936
01	AL	Alabama	079	161565	01079	Lawrence	Lawrence County	6	H1	G4020	290	19460	NA	A	1788846346	68687359	34.529776	-87.3218651
01	AL	Alabama	027	161539	01027	Clay	Clay County	6	H1	G4020	NA	NA	NA	A	1564252367	5284573	33.2703999	-85.8635254
01	AL	Alabama	037	161544	01037	Coosa	Coosa County	6	H1	G4020	142	45180	NA	A	1685891509	39946563	32.9314453	-86.2434818
